size threads sequential_time parallel_time builtin_time
680 32 0.000074 0.045369 0.000214
1000 16 0.000122 0.024364 0.000330
980 4 0.000114 0.003909 0.000316
120 8 0.000011 0.009635 0.000024
720 2 0.000079 0.000714 0.000216
320 8 0.000037 0.010638 0.000130
1000 4 0.000115 0.003060 0.000345
900 4 0.000106 0.002755 0.000314
860 8 0.000112 0.009361 0.000282
480 8 0.000057 0.008051 0.000165
420 2 0.000051 0.001135 0.000151
740 32 0.000098 0.035479 0.000237
880 4 0.000099 0.003836 0.000316
580 16 0.000065 0.020342 0.000182
100 2 0.000013 0.000936 0.000024
340 8 0.000033 0.008860 0.000122
1000 2 0.000116 0.000931 0.000331
560 4 0.000061 0.003040 0.000190
340 4 0.000035 0.002879 0.000130
120 4 0.000014 0.003970 0.000027
300 2 0.000038 0.000607 0.000114
840 2 0.000096 0.000745 0.000252
900 8 0.000102 0.012365 0.000294
920 4 0.000111 0.003037 0.000346
780 16 0.000088 0.016886 0.000236
440 2 0.000056 0.000655 0.000149
720 32 0.000081 0.038732 0.000226
440 8 0.000050 0.010476 0.000151
880 2 0.000118 0.000718 0.000310
440 32 0.000050 0.049599 0.000153
760 8 0.000075 0.010521 0.000205
160 2 0.000017 0.000723 0.000069
580 32 0.000071 0.047083 0.000191
840 32 0.000078 0.050290 0.000269
280 8 0.000030 0.010799 0.000103
480 4 0.000052 0.002867 0.000163
800 4 0.000096 0.003743 0.000287
440 4 0.000048 0.003524 0.000146
580 8 0.000060 0.009087 0.000171
140 32 0.000014 0.033613 0.000082
40 8 0.000004 0.006458 0.000010
260 4 0.000029 0.003031 0.000110
400 8 0.000043 0.009640 0.000147
920 16 0.000097 0.022740 0.000289
400 32 0.000041 0.029276 0.000125
620 8 0.000070 0.009627 0.000222
180 2 0.000018 0.000974 0.000077
540 2 0.000073 0.000401 0.000186
280 4 0.000030 0.003063 0.000096
700 16 0.000063 0.019957 0.000191
280 2 0.000021 0.000471 0.000079
100 32 0.000009 0.036333 0.000020
80 16 0.000008 0.016413 0.000017
360 8 0.000037 0.011042 0.000121
60 32 0.000006 0.025379 0.000012
360 2 0.000048 0.001225 0.000135
560 16 0.000058 0.014807 0.000179
60 4 0.000006 0.002856 0.000012
840 16 0.000099 0.023819 0.000262
300 16 0.000031 0.023490 0.000117
780 4 0.000101 0.003516 0.000245
260 32 0.000027 0.040457 0.000116
180 4 0.000017 0.003226 0.000075
900 2 0.000122 0.000645 0.000287
880 16 0.000097 0.019742 0.000269
660 16 0.000072 0.022516 0.000222
300 4 0.000030 0.003617 0.000109
300 32 0.000033 0.034283 0.000118
660 2 0.000086 0.001036 0.000220
960 32 0.000112 0.044644 0.000302
980 8 0.000118 0.009798 0.000354
860 2 0.000112 0.000917 0.000300
120 2 0.000016 0.001380 0.000040
320 32 0.000032 0.033664 0.000125
280 32 0.000028 0.032389 0.000098
940 32 0.000107 0.048644 0.000298
340 16 0.000037 0.019773 0.000133
620 32 0.000069 0.031723 0.000234
460 4 0.000051 0.003763 0.000160
300 8 0.000041 0.006504 0.000115
700 4 0.000073 0.002637 0.000206
520 32 0.000057 0.047615 0.000183
240 8 0.000027 0.008023 0.000100
660 32 0.000070 0.042297 0.000208
420 32 0.000048 0.040219 0.000161
200 16 0.000021 0.020090 0.000089
40 4 0.000004 0.002378 0.000008
700 32 0.000082 0.043933 0.000233
800 2 0.000090 0.000757 0.000270
380 4 0.000044 0.003536 0.000133
380 8 0.000040 0.009344 0.000119
760 4 0.000086 0.002653 0.000242
880 8 0.000100 0.008785 0.000294
940 4 0.000109 0.003766 0.000304
820 8 0.000093 0.009261 0.000257
840 4 0.000098 0.003667 0.000297
640 32 0.000074 0.044808 0.000228
740 2 0.000085 0.001223 0.000273
620 4 0.000069 0.003778 0.000204
80 4 0.000008 0.003337 0.000017
580 2 0.000064 0.001081 0.000181
400 2 0.000062 0.001264 0.000156
120 16 0.000014 0.015749 0.000029
